Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
42,11750.05,,40.32,384.49,64.73,2182.89,3821.36,3358.7,3161.7,957.92,1491.27,70966.8,8845.2,359.27,192.35,1019.41,5199.04
43,6779.49,,61.52,261.37,58.15,2391.68,2320.56,2452.14,1364.93,385.41,1167.77,62850.62,4096.95,467.54,189.47,1443.72,2603.28
44,2046.28,,54.5,44.35,82.29,1040.63,1699.6,3516.33,550.81,325.56,1057.09,29142.73,2958.79,766.3,241.55,1206.41,2813.07
45,2142.08,,19.95,108.88,113.75,3023.76,2058.73,1680.98,1990.82,1106.48,1328.51,20608.18,5405.29,852.32,228.11,1082.14,2564.25
46,16727.97,,14.49,409.15,118.64,3376.34,2774.84,3278.58,3737.88,1651.27,1631.47,55750.78,8227.91,464.8,265.95,973.42,4811.28
47,8563.28,,28.06,244.69,615.4,1383.06,2359.82,1961.23,3351.61,827.55,1204.76,58102.6,4308.82,553.95,308.26,1342.78,2738.55
48,1654.13,,33.47,39.45,60.14,1329.6,2005.77,2511.22,946.05,477.82,1216.79,25943.15,2934.12,343.44,304.64,1102.84,3146.7
49,1625.91,,19.31,90.34,1177.43,3104.81,1812.45,1724.72,2498.02,867.18,1166.62,16850.03,4128.6,855.4,441.6,1019.54,2608.68
50,7444.32,,27.18,473.71,197.91,3225.91,2468.27,2858.13,3752.64,819.01,1398.24,54755.98,7765.33,150.99,326.92,1003.48,4528.79
51,2741.47,,25.44,125,556.47,1628.04,2105.14,2038.26,3095.83,586.51,977.62,47093.64,3985.57,327.96,294.66,1267.24,2815.92
52,125.03,,31.45,26.96,193.31,1551.76,1990.86,2587.61,1613.2,569.71,799.21,23252.94,2767.93,362.45,466.81,1214.96,3070.96
53,4547.71,,17.29,84.16,974.65,1984.66,1884.45,1332.81,2961.57,969.17,962.91,16889.8,3759.84,445.18,213.07,1061.85,2420.53
54,14846.24,,12.79,465.1,204.28,2230.17,2164,2776.49,3328.64,914.8,1039.7,55585.71,7129.13,71.76,106.58,1072.04,4565.22
55,6889.95,,24.27,120.36,130.92,1484.75,1818.88,2168.07,2119.53,465.61,1213.53,53641.97,3580.3,97.07,121.63,1246.98,2895.79
56,1336.18,,27.1,26.16,479.28,1938.03,2618.8,2628.17,2163.11,497.63,757.83,24445.41,2508.14,66.93,129.21,1269.61,3200.97
57,476.78,,31.61,71.05,363.72,1745.89,1632.04,1356.33,3732.4,731.64,1674.48,17567.34,3478.47,76.4,171.62,946.71,2454.93
58,3942,,23.19,428.97,182.74,2290.32,1795.88,3108.22,4256.91,714.84,1333.08,56768.33,5675.51,59.54,272.05,1144.07,4476.89
59,4494.44,,48.5,106.98,89.07,1144.93,2212.59,1419.73,3338.04,1474.36,1155.73,54841.16,3403.28,45.04,110.13,1053.14,3075.15
60,1215.06,,161.57,23.91,281.6,629.89,2495.89,6145.55,2602.62,336.82,1126.19,23939.65,2816.77,44.33,115.35,1076.79,3494.63
61,716.69,,51.13,54.95,303.45,1718.71,1930.28,3485.68,4267.7,2635.71,1588.26,26773.44,3254.72,141.57,91.24,937.97,2519.77
62,3109.1,,27.67,380.92,114.9,506.57,1964.13,26736.36,4701.41,1829.67,1206.26,74203.49,5702.26,61.05,77.83,1044.34,4481.61
63,5689.1,,136.16,107.33,65,625.26,1879.81,15382.08,2834.16,1034.87,1430.16,65036.57,4207.74,91.53,55.17,933.83,3025.5
64,1346.47,,110.69,22.36,56.19,128.45,1577.8,14215.51,2091.62,643.08,1550.11,31402.16,2861.65,93.63,30.94,1154.45,3442.79
65,2120.45,,38.1,48.66,188.18,843.57,1773.28,12672.3,3400.48,696.85,1953.86,26080.37,2304.59,87.24,26.56,845.84,2873.53
66,6388.9,,15.63,287.72,50.74,334.14,1847.41,17914.42,5271.15,657.32,1473.25,69651.01,4428.14,71.32,10.62,859.43,4320.04
67,5198.02,,100.72,112.98,69.36,238.12,1525.62,8406.86,2501.74,756.79,1892.32,67959.65,4038.72,61.01,20.25,931.72,3063.1
68,1273.71,,105.77,22.65,46.17,216.53,1553.59,9684.47,1747.72,486.61,1744.87,30897.51,2653.81,84.4,69.86,962.06,3487.11
69,2494.97,,89.92,48.89,345.05,310.49,1335.9,11665.67,3885.93,767.96,2066.47,26509.54,2475.28,60.26,7.57,724.62,2844.54
70,3249.4,,6.81,295.04,35.11,746.8,979.77,13581.63,5387.41,205.31,2057.08,65147.99,2858.5,114.68,268,798.69,6492.69
71,185.49,,65.81,84.48,28.28,424.23,288.33,6168.04,3226.66,501.25,1258.41,60643.16,3300.57,42.6,545.69,746.21,2409.07
72,1268.52,,20.29,27.43,45.3,439.72,318.34,8303.91,1795.05,245.59,930.88,25120.35,2668.17,48.23,61.51,757.77,2099.07
