Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
48,,16.27,34.8,107.48,305.36,191.9,64.81,75.83,125.08,2.63,13.9,84.09,66.05,1.18,33.7,51.14,132.71
49,,17.44,9.48,63.34,174.07,144.74,13.6,29.49,152.36,1.77,2.73,178.09,51.22,0.37,28.46,21.65,140.97
50,,15.36,20.06,81.46,102.19,173.31,19.32,30.69,100.01,5.05,6.21,160.92,33.59,2.3,11.89,61.15,102.16
51,,14.61,39.04,175.21,591.7,149.26,14.72,66.13,92.35,1.47,17.89,501.73,49.84,52.01,21.71,58.57,98.07
52,,13.18,28.15,91.39,316.14,257.52,33.11,70.72,81.55,4.56,15.68,70.28,80.97,2.71,23.55,52.45,156.48
53,,17.67,38.67,54.75,187.29,145.64,16.96,15.43,184.54,2.17,2.66,599.98,66.26,2.22,22.26,21.31,158.62
54,,9.27,45.63,73.51,120.68,172.25,11.15,27.88,182.84,6.11,3.1,150.08,88.23,0.24,6.16,58.47,99.93
55,,8.77,20.96,190.66,621.96,240.96,18.72,61.03,183.03,1.28,14.32,164.98,56.97,4.56,12.13,54.23,82.41
56,,14.98,43.84,81.54,299.1,167.04,30.48,56.71,209.08,2.02,13.04,62.63,82.41,4.89,23.11,44.53,115.22
57,,14.63,12.31,47.21,189.23,213.81,20.29,1.28,294.7,1.46,4.33,20.23,78.75,0.4,15.56,32.69,131.91
58,,12.89,43.78,72.28,119.12,112.3,11.33,12.42,291.39,2.71,1.77,173.79,95.78,0.16,5.43,46.47,107.76
59,,12.1,33.46,195.58,421.91,163.19,20.72,74.24,244.91,0.63,7.47,243.34,94.84,0.46,9.05,50.32,69.47
60,,19.38,45.14,75.71,562.63,88.51,32.62,89.35,222.82,1.92,4.32,72.47,59.12,1.39,16.08,54.3,106.81
61,,12.29,18.82,39.07,134.89,168.35,30.91,13.49,365.79,0.67,9.39,14.25,31.63,3.31,15.82,33.21,105.82
62,,10.76,54.85,63.08,136.82,99.26,12.87,18.97,268.48,5.34,4.65,50.68,37.4,1.15,2.12,53.88,109.98
63,,10.87,53.94,193.81,435.27,161.07,25.37,20.26,381.41,1.07,5.64,208.85,53.5,2.79,5.44,47.98,77.66
64,,16.35,45.23,74.91,603.37,57.06,22.58,89.01,250.24,0.59,11.98,37.47,51.06,1.3,10.78,61.43,112.77
65,,2.65,48.85,38.81,405.37,147.98,56.43,61.28,272.05,1.71,23.52,14.68,137.21,2.96,17.18,25.01,74.02
66,,3.26,40.48,59.78,887.89,120.41,23.07,107.56,102.37,1.97,44.9,51.52,73.79,0.01,2.35,19.08,264.7
67,,10.03,47.59,200.13,1336.39,119.38,68.13,104.38,107.61,0.48,56.09,29.56,60.28,0.16,1.77,27.62,272.8
68,,16.41,33.89,75.26,1057.45,88.5,56.08,128.58,152.86,0.62,50.01,63.57,51.37,4.4,12.57,29.26,283.12
69,,5.32,41.06,39.43,160.32,20.77,29.02,78.44,165.8,0.94,59.21,26.34,12.11,0.12,0.67,5.42,220.08
70,,2.21,38.81,61.41,185.45,120.59,37.88,124.13,117.68,0.31,70.53,76.76,86.57,1.12,4.98,15.54,201.13
71,,7.26,48.04,95.02,324.73,82.48,73.79,42.24,161.94,1.28,52.74,54.61,33.04,0.63,1.09,40.15,80.02
72,,14.23,28.5,70.7,453.92,62.28,102.69,42.83,138.23,0.97,36.78,68.91,37.38,0.67,7.88,14.37,50.97
