Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
47,39.69,,51.35,296.38,37.62,5.4,559.42,384.73,232.2,110.49,725.57,1771.41,230.67,104.11,1764.16,148.21,2914.69
48,8.47,,32.47,234.04,77,,324.87,504.51,148.21,110.2,359.29,2038.32,349.73,417.69,484.32,196.05,3928.7
49,32.05,,33.71,112.81,393.23,,427.73,88.34,806.35,279.08,537.63,2759.64,628.28,142.94,107.12,128.86,2759.94
50,50.98,,43.72,225.07,287.9,0.76,1260.21,238.01,497.92,273.08,296.83,2449.41,271.67,391.98,174.79,182.16,2983.56
51,53.79,,63.23,221.64,225.42,,623.16,384.78,371.88,248.06,596.22,2055.09,251.58,200.29,195.31,243.27,3034.4
52,13.52,,42.41,204.66,128.07,,348.81,496.6,149.07,176.47,183.56,2111.44,351.05,523.09,242.91,447.1,4037.36
53,34.87,,33.04,85.58,430.35,,368.79,159.33,476.78,239.76,395.72,2504.38,545.69,146.61,195.38,303.06,2916.53
54,29.82,,40.93,191.94,314.33,,766.51,288.5,550.27,535.23,257.88,2206.48,240.03,254,123.13,297.79,3218.95
55,14.88,,59.01,213.77,370.07,6.83,367.45,274.69,715.96,55.47,477.4,1785.88,245.29,102.68,203.8,322.1,3301.3
56,0.87,,29.34,164.82,553.99,,310.16,864.76,607.3,173.89,234.94,1869.12,348.66,249.46,123.42,457.57,4336.27
57,37.13,,44.91,56.52,1007.64,,248.62,171.38,471.48,371.43,169.46,2564.82,528.6,244.37,57.39,402.98,3266.09
58,64.78,,42.34,190.12,561.4,,653,266.1,450.89,432.06,170.67,2469.14,263.8,176.46,64.73,300.5,3482.97
59,32.7,,37.87,137.58,303.29,,226.19,290.05,124.12,220.56,254.65,930.99,258.66,236.04,60.19,219.86,3400.03
60,34.65,,130.71,144.23,714.57,,491.75,583.95,90.57,259.92,310.52,1642.53,362.44,171.87,69.68,340.93,4445.74
61,34.25,,47.12,33.96,614.62,,266.64,121.59,269.36,326.18,182.24,2897.03,538.25,148.5,39.89,332.3,3572.79
62,23.93,,64.96,149.87,365.59,9.32,712.54,131.02,280.53,801.12,138.64,1992.92,235.84,167.11,42.23,219.31,3905.04
63,33.4,,64.54,134.08,459.82,7.24,293.68,325.13,168.56,356.6,360.03,915.78,249.62,164.12,37.08,170.86,3280.45
64,,,109.25,133.92,288.26,,651.31,311.87,292.59,189.84,253.47,958.85,351.46,316.08,62.41,287.1,4381.17
65,0.29,,62.58,32.68,422.66,14,497.55,92.32,215.56,160.65,50.79,2310.03,471.08,99.67,39.76,307.41,3693.29
66,6.2,,15.24,127.83,163.62,35.55,768.54,117.01,236.28,548.07,227.81,2105.24,241.27,75.02,79.43,201.46,4013.46
67,4.01,,57.9,134.21,208.68,,385.4,256.87,158.2,611.95,426.19,950.63,256.4,125.18,60.01,188.98,3327.33
68,5,,141.02,130.14,236.39,73.54,698.82,383.1,846.84,175.7,262.55,1145.33,396.07,182.29,58.01,317.12,4399.64
69,,,76.01,34.2,230.3,7.17,590.24,21.43,485.46,368.44,132.89,2349.68,324.77,108.39,83.82,364.47,3381.17
70,7.95,,123.2,127.51,331.01,169.7,89.17,92.88,811.3,190.85,370.71,1350.01,598.31,162.86,618.12,470.13,1631.4
71,29.28,,3.56,80.87,378.37,419.93,44.06,195.16,137.69,316.37,534.28,1084.19,340.22,50.85,18.95,103.08,3838.31
72,,,11.9,94.93,952.82,424.56,226.1,,416.08,103.94,196.92,1138.15,145.55,54.51,145.34,15.59,3808.84
