Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
48,25.64,,187.13,20.68,53.08,171.85,905.83,219.77,387.47,149.77,412.07,1081.01,154.56,46.15,200.36,177.55,582.58
49,81.03,,331.52,40.24,113.73,181.48,674.54,171.25,309.19,262.32,321.16,423.48,63.51,38.76,130.81,166.91,769.15
50,219.08,,35,40.51,95.87,191.67,668.23,774.84,500.74,309.05,646.36,427.88,133.47,34.27,20.13,172.52,608.64
51,52.8,,76.34,85.83,124.83,247.29,709.98,330.49,492.25,187.66,409.02,532.46,87.59,64.1,25.03,275.71,522.76
52,52.15,,231.37,17.78,90.08,190.96,705.03,269.56,168.21,244.06,579.65,858.22,59.72,30.27,33.86,167.35,602.88
53,74.15,,362.15,37.01,86.55,300.55,498.95,183.18,227.54,224.91,451.82,382.08,61.3,39.68,8.66,228.04,629.27
54,94.49,,104.8,40.46,106.76,226.25,751.56,750.95,376.63,90.5,381.28,519.75,129.05,36.96,7.92,154.81,638.99
55,41.79,,214.17,89.77,194.51,208.81,1451.1,339.24,154.65,90.96,422,543.97,89.4,33.93,8.56,243.48,638.73
56,42.83,,467.82,15.23,293.7,252.05,655.72,278.42,204,244.11,535.46,771.54,60.49,67.48,21.05,194.74,704.92
57,58.24,,476.55,33.53,143.76,341.18,425.89,186.11,166.03,485.89,727.23,421.07,63.89,66.54,17.14,171.06,658.91
58,128.12,,145.13,40.21,152.67,403.19,826.33,816.06,228.43,425.17,369.24,549.02,117.34,44.27,19.19,155.18,685.07
59,58.06,,109.08,81.82,85.35,300.28,1574.44,275.4,626.47,119.84,509.55,904.26,96.1,42.96,13.4,170.38,717.2
60,45.46,,220.8,13.69,229.63,314.18,765.69,323.14,144.3,221.28,455.68,683.65,80.69,51.68,25.57,230.11,692.99
61,46.3,,381.23,30.52,102.16,349.04,645.85,228.14,274.62,303.17,679.04,495.83,60.11,14.39,14.9,156.78,536.4
62,6.8,,163.65,41.52,162.49,110.95,837.25,765.52,179.65,565.66,503.28,513.26,124.35,141.74,16.68,180.69,669.11
63,8.59,,151.59,82.55,117.32,225.47,1404.66,295.16,271.15,511.38,793.9,773.18,119.02,39.02,30.62,137.47,865.88
64,7.49,,281.07,12.41,153.02,253.91,785.31,207.1,133.22,183.36,658.45,606.65,70.82,63.18,18.16,222.84,807.79
65,4.6,,170.96,31.85,94.04,149.88,479.05,312.65,251.98,302.62,460.92,501.74,53.77,54.22,12.22,171.26,707.59
66,2.92,,151.68,40.43,111.72,136.83,807.78,743.57,361.54,622.81,788.49,497.02,99.03,80.62,19.97,292.58,672.45
67,10.41,,188.29,79.58,190.58,194.35,1277.17,348.62,253.22,504.57,1072.81,706.97,103.41,37.3,15.63,190.44,869.13
68,5.79,,234.31,12.57,128.09,184.84,611.42,189.68,434.91,342.48,906.74,861.64,72.64,47.37,47.13,181.5,854.49
69,2.12,,323.1,32.24,50.92,406.67,354.91,327.29,236.83,85.69,638.93,599.9,43.93,61.57,22.62,79.87,733.78
70,2.15,,851.35,45.6,82.67,231.29,771.32,939.84,689.86,184.37,537.53,985.07,78.04,186.91,16.56,275.57,798.48
71,1.12,,35.25,66.08,25.12,223.97,629.96,710.93,334.66,164.86,737.23,530.88,77.21,680.15,18.36,83.15,858.85
72,,,29.17,33.93,35.87,337.49,435.45,490.51,233.81,101.33,282.34,224.69,98.94,506.39,15.45,227.47,717.09
